Time_Elapsed,Temperature,RMS_Current,PWM,Live_Damping,Health_Score,Status
141.10,45,110,255,0.9775,75.6,Healthy
142.08,45,98,255,0.9775,75.3,Healthy
143.09,46,98,255,0.9770,74.8,Healthy
144.07,46,89,255,0.9770,74.3,Healthy
145.07,46,89,255,0.9770,73.9,Healthy
146.07,46,89,255,0.9770,73.6,Healthy
147.07,46,89,255,0.9770,73.4,Healthy
148.07,46,89,255,0.9770,73.1,Healthy
149.08,46,89,255,0.9770,72.9,Healthy
150.11,46,89,255,0.9770,72.8,Healthy
151.06,47,89,255,0.9765,72.4,Healthy
152.07,48,83,255,0.9760,72.0,Healthy
153.06,48,69,255,0.9760,71.6,Healthy
154.08,48,69,255,0.9760,71.3,Healthy
155.11,48,69,255,0.9760,71.0,Healthy
156.13,48,69,255,0.9760,70.7,Healthy
157.15,48,69,255,0.9760,70.5,Healthy
158.12,48,69,255,0.9760,70.4,Healthy
159.12,48,69,255,0.9760,70.2,Healthy
160.13,48,69,255,0.9760,70.1,Healthy
161.13,48,69,255,0.9760,70.0,Healthy
162.13,49,69,255,0.9755,69.7,Healthy
163.14,50,53,255,0.9750,69.3,Healthy
164.12,51,35,255,0.9745,68.6,Healthy
165.15,51,12,255,0.9745,67.1,Healthy
166.13,51,12,255,0.9745,65.9,Healthy
167.12,51,12,255,0.9745,64.9,Healthy
168.13,51,12,255,0.9745,64.0,Healthy
169.15,51,12,255,0.9745,63.2,Healthy
170.15,51,12,255,0.9745,62.6,Healthy
171.15,51,12,255,0.9745,62.0,Healthy
172.14,51,12,255,0.9745,61.5,Healthy
173.14,51,12,255,0.9745,61.1,Healthy
174.15,51,12,255,0.9745,60.8,Healthy
175.12,51,12,255,0.9745,60.5,Healthy
176.14,51,12,255,0.9745,60.3,Healthy
177.12,53,12,255,0.9735,59.9,Healthy
178.12,54,222,128,0.9730,60.5,Warning_Throttled
179.12,54,202,128,0.9730,61.0,Warning_Throttled
180.12,54,202,128,0.9730,61.4,Warning_Throttled
181.15,54,202,128,0.9730,61.8,Warning_Throttled
182.14,54,202,128,0.9730,62.1,Warning_Throttled
183.11,54,202,128,0.9730,62.3,Warning_Throttled
184.11,55,202,128,0.9725,62.4,Warning_Throttled
185.14,57,185,128,0.9715,62.1,Warning_Throttled
186.14,57,85,255,0.9715,61.9,Healthy
187.14,57,85,255,0.9715,61.6,Healthy
188.11,57,85,255,0.9715,61.4,Healthy
189.12,57,85,255,0.9715,61.2,Healthy
190.14,57,85,255,0.9715,61.1,Healthy
191.11,58,85,255,0.9710,60.8,Healthy
192.11,59,134,255,0.9705,60.4,Healthy
193.11,59,170,128,0.9705,60.2,Warning_Throttled
194.14,59,171,128,0.9705,60.0,Warning_Throttled
195.11,59,171,128,0.9705,59.8,Warning_Throttled
196.11,59,171,128,0.9705,59.6,Warning_Throttled
197.13,60,171,128,0.9700,59.4,Warning_Throttled
198.11,60,151,255,0.9700,59.1,Healthy
